N;lv;E_1;S;M;C
9;0;-1.37271;0.5;-4;288
9;0;-1.43239;0.5;-2;288
9;0;-1.35282;0.5;-2;288
9;0;-1.43239;0.5;0;288
9;0;-1.39261;0.5;0;288
9;0;-1.37271;0.5;4;288
9;0;-1.27324;1.5;0;288
9;0;-1.43239;0.5;2;288
9;0;-1.35282;0.5;2;288
9;1;-1.32298;0.5;-7;323
9;1;-1.38187;0.5;-5;323
9;1;-1.31512;0.5;-5;323
9;1;-1.27194;0.5;-5;323
9;1;-1.21356;1.5;5;323
9;1;-1.43962;0.5;-3;323
9;1;-1.37086;0.5;-3;323
9;1;-1.33854;0.5;-3;323
9;1;-1.29761;0.5;-3;323
9;1;-1.28739;0.5;-3;323
9;1;-1.23369;0.5;-3;323
9;1;-1.16774;1.5;3;323
9;1;-1.32298;0.5;7;323
9;1;-1.23947;1.5;3;323
9;1;-1.25335;1.5;3;323
9;1;-1.45704;0.5;-1;323
9;1;-1.41815;0.5;-1;323
9;1;-1.38681;0.5;-1;323
9;1;-1.31752;0.5;-1;323
9;1;-1.21356;1.5;-5;323
9;1;-1.31102;0.5;-1;323
9;1;-1.27843;0.5;-1;323
9;1;-1.22474;0.5;-1;323
9;1;-1.21994;0.5;-1;323
9;1;-1.14103;1.5;1;323
9;1;-1.27194;0.5;5;323
9;1;-1.18764;1.5;1;323
9;1;-1.31512;0.5;5;323
9;1;-1.24630;1.5;1;323
9;1;-1.25937;1.5;1;323
9;1;-1.38187;0.5;5;323
9;1;-1.45704;0.5;1;323
9;1;-1.41815;0.5;1;323
9;1;-1.38681;0.5;1;323
9;1;-1.25335;1.5;-3;323
9;1;-1.23947;1.5;-3;323
9;1;-1.31752;0.5;1;323
9;1;-1.31102;0.5;1;323
9;1;-1.27843;0.5;1;323
9;1;-1.16774;1.5;-3;323
9;1;-1.22474;0.5;1;323
9;1;-1.21994;0.5;1;323
9;1;-1.23369;0.5;3;323
9;1;-1.14103;1.5;-1;323
9;1;-1.28739;0.5;3;323
9;1;-1.18764;1.5;-1;323
9;1;-1.29761;0.5;3;323
9;1;-1.33854;0.5;3;323
9;1;-1.24630;1.5;-1;323
9;1;-1.25937;1.5;-1;323
9;1;-1.37086;0.5;3;323
9;1;-1.43962;0.5;3;323
9;1;-1.35282;0.5;-1;323
9;1;-1.35282;0.5;1;323
9;2;-0.93504;2.5;4;360
9;2;-0.93504;2.5;2;360
9;2;-0.97482;2.5;2;360
9;2;-1.30110;0.5;-8;360
9;2;-1.24637;0.5;-8;360
9;2;-1.18024;0.5;-8;360
9;2;-1.14393;1.5;8;360
9;2;-0.93504;2.5;0;360
9;2;-1.37661;0.5;-6;360
9;2;-1.34751;0.5;-6;360
9;2;-1.01461;2.5;0;360
9;2;-1.31102;0.5;-6;360
9;2;-1.30302;0.5;-6;360
9;2;-1.27847;0.5;-6;360
9;2;-1.22884;0.5;-6;360
9;2;-1.20865;0.5;-6;360
9;2;-1.19609;0.5;-6;360
9;2;-1.09558;1.5;6;360
9;2;-1.10824;1.5;6;360
9;2;-1.11444;0.5;-6;360
9;2;-1.13917;1.5;6;360
9;2;-1.18864;1.5;6;360
9;2;-1.22779;1.5;6;360
9;2;-1.42340;0.5;-4;360
9;2;-0.93504;2.5;-2;360
9;2;-1.38782;0.5;-4;360
9;2;-0.97482;2.5;-2;360
9;2;-1.37219;0.5;-4;360
9;2;-1.35840;0.5;-4;360
9;2;-1.33916;0.5;-4;360
9;2;-1.32261;0.5;-4;360
9;2;-1.30293;0.5;-4;360
9;2;-1.29284;0.5;-4;360
9;2;-1.27232;0.5;-4;360
9;2;-1.26260;0.5;-4;360
9;2;-1.25655;0.5;-4;360
9;2;-1.14393;1.5;-8;360
9;2;-1.22816;0.5;-4;360
9;2;-1.21989;0.5;-4;360
9;2;-1.20211;0.5;-4;360
9;2;-1.06441;1.5;4;360
9;2;-1.17617;0.5;-4;360
9;2;-1.18024;0.5;8;360
9;2;-1.08585;1.5;4;360
9;2;-1.15718;0.5;-4;360
9;2;-1.09934;1.5;4;360
9;2;-1.11837;1.5;4;360
9;2;-1.12017;0.5;-4;360
9;2;-1.13583;1.5;4;360
9;2;-1.24637;0.5;8;360
9;2;-1.09449;0.5;-4;360
9;2;-1.17749;1.5;4;360
9;2;-1.30110;0.5;8;360
9;2;-1.20223;1.5;4;360
9;2;-1.21832;1.5;4;360
9;2;-1.24200;1.5;4;360
9;2;-1.25459;1.5;4;360
9;2;-1.43947;0.5;-2;360
9;2;-1.42601;0.5;-2;360
9;2;-0.93504;2.5;-4;360
9;2;-1.41362;0.5;-2;360
9;2;-1.38269;0.5;-2;360
9;2;-1.37291;0.5;-2;360
9;2;-1.35014;0.5;-2;360
9;2;-1.33846;0.5;-2;360
9;2;-1.33712;0.5;-2;360
9;2;-1.22779;1.5;-6;360
9;2;-1.32634;0.5;-2;360
9;2;-1.32087;0.5;-2;360
9;2;-1.30806;0.5;-2;360
9;2;-1.29897;0.5;-2;360
9;2;-1.18864;1.5;-6;360
9;2;-1.28562;0.5;-2;360
9;2;-1.27622;0.5;-2;360
9;2;-1.26920;0.5;-2;360
9;2;-1.24991;0.5;-2;360
9;2;-1.13917;1.5;-6;360
9;2;-1.23843;0.5;-2;360
9;2;-1.11444;0.5;6;360
9;2;-1.01762;1.5;2;360
9;2;-1.22753;0.5;-2;360
9;2;-1.02862;1.5;2;360
9;2;-1.21464;0.5;-2;360
9;2;-1.10824;1.5;-6;360
9;2;-1.04780;1.5;2;360
9;2;-1.09558;1.5;-6;360
9;2;-1.18969;0.5;-2;360
9;2;-1.07350;1.5;2;360
9;2;-1.17483;0.5;-2;360
9;2;-1.17240;0.5;-2;360
9;2;-1.19609;0.5;6;360
9;2;-1.15288;0.5;-2;360
9;2;-1.10484;1.5;2;360
9;2;-1.14309;0.5;-2;360
9;2;-1.20865;0.5;6;360
9;2;-1.11299;1.5;2;360
9;2;-1.12651;0.5;-2;360
9;2;-1.12518;1.5;2;360
9;2;-1.22884;0.5;6;360
9;2;-1.13424;1.5;2;360
9;2;-1.08356;0.5;-2;360
9;2;-1.17752;1.5;2;360
9;2;-1.27847;0.5;6;360
9;2;-1.18381;1.5;2;360
9;2;-1.19550;1.5;2;360
9;2;-1.30302;0.5;6;360
9;2;-1.20386;1.5;2;360
9;2;-1.31102;0.5;6;360
9;2;-1.21617;1.5;2;360
9;2;-1.23990;1.5;2;360
9;2;-1.24736;1.5;2;360
9;2;-1.34751;0.5;6;360
9;2;-1.26987;1.5;2;360
9;2;-1.37661;0.5;6;360
9;2;-1.28680;1.5;2;360
9;2;-1.43950;0.5;0;360
9;2;-1.43440;0.5;0;360
9;2;-1.40214;0.5;0;360
9;2;-1.38769;0.5;0;360
9;2;-1.36304;0.5;0;360
9;2;-1.25459;1.5;-4;360
9;2;-1.35131;0.5;0;360
9;2;-1.34201;0.5;0;360
9;2;-1.24200;1.5;-4;360
9;2;-1.33898;0.5;0;360
9;2;-1.33054;0.5;0;360
9;2;-1.32159;0.5;0;360
9;2;-1.21832;1.5;-4;360
9;2;-1.31279;0.5;0;360
9;2;-1.31090;0.5;0;360
9;2;-1.20223;1.5;-4;360
9;2;-1.29166;0.5;0;360
9;2;-1.17749;1.5;-4;360
9;2;-1.27044;0.5;0;360
9;2;-1.26970;0.5;0;360
9;2;-1.26388;0.5;0;360
9;2;-1.25991;0.5;0;360
9;2;-1.09449;0.5;4;360
9;2;-1.24799;0.5;0;360
9;2;-1.00593;1.5;0;360
9;2;-1.13583;1.5;-4;360
9;2;-1.12017;0.5;4;360
9;2;-1.22509;0.5;0;360
9;2;-1.21933;0.5;0;360
9;2;-1.03136;1.5;0;360
9;2;-1.11837;1.5;-4;360
9;2;-1.20091;0.5;0;360
9;2;-1.19952;0.5;0;360
9;2;-1.09934;1.5;-4;360
9;2;-1.05201;1.5;0;360
9;2;-1.15718;0.5;4;360
9;2;-1.18664;0.5;0;360
9;2;-1.18610;0.5;0;360
9;2;-1.08585;1.5;-4;360
9;2;-1.06951;1.5;0;360
9;2;-1.17617;0.5;4;360
9;2;-1.07947;1.5;0;360
9;2;-1.06441;1.5;-4;360
9;2;-1.08835;1.5;0;360
9;2;-1.14880;0.5;0;360
9;2;-1.14863;0.5;0;360
9;2;-1.20211;0.5;4;360
9;2;-1.14575;0.5;0;360
9;2;-1.21989;0.5;4;360
9;2;-1.12156;1.5;0;360
9;2;-1.22816;0.5;4;360
9;2;-1.13137;1.5;0;360
9;2;-1.10689;0.5;0;360
9;2;-1.25655;0.5;4;360
9;2;-1.26260;0.5;4;360
9;2;-1.08143;0.5;0;360
9;2;-1.27232;0.5;4;360
9;2;-1.17296;1.5;0;360
9;2;-1.17570;1.5;0;360
9;2;-1.29284;0.5;4;360
9;2;-1.05649;0.5;0;360
9;2;-1.19769;1.5;0;360
9;2;-1.30293;0.5;4;360
9;2;-1.21200;1.5;0;360
9;2;-1.32261;0.5;4;360
9;2;-1.23743;1.5;0;360
9;2;-1.33916;0.5;4;360
9;2;-1.25280;1.5;0;360
9;2;-1.25675;1.5;0;360
9;2;-1.35840;0.5;4;360
9;2;-1.37219;0.5;4;360
9;2;-1.27266;1.5;0;360
9;2;-1.27820;1.5;0;360
9;2;-1.38782;0.5;4;360
9;2;-1.42340;0.5;4;360
9;2;-1.43947;0.5;2;360
9;2;-1.42601;0.5;2;360
9;2;-1.41362;0.5;2;360
9;2;-1.28680;1.5;-2;360
9;2;-1.38269;0.5;2;360
9;2;-1.37291;0.5;2;360
9;2;-1.26987;1.5;-2;360
9;2;-1.35014;0.5;2;360
9;2;-1.24736;1.5;-2;360
9;2;-1.23990;1.5;-2;360
9;2;-1.33846;0.5;2;360
9;2;-1.33712;0.5;2;360
9;2;-1.32634;0.5;2;360
9;2;-1.32087;0.5;2;360
9;2;-1.21617;1.5;-2;360
9;2;-1.30806;0.5;2;360
9;2;-1.20386;1.5;-2;360
9;2;-1.29897;0.5;2;360
9;2;-1.19550;1.5;-2;360
9;2;-1.28562;0.5;2;360
9;2;-1.18381;1.5;-2;360
9;2;-1.17752;1.5;-2;360
9;2;-1.27622;0.5;2;360
9;2;-1.26920;0.5;2;360
9;2;-1.08356;0.5;2;360
9;2;-1.24991;0.5;2;360
9;2;-1.23843;0.5;2;360
9;2;-1.13424;1.5;-2;360
9;2;-1.01762;1.5;-2;360
9;2;-1.22753;0.5;2;360
9;2;-1.12518;1.5;-2;360
9;2;-1.12651;0.5;2;360
9;2;-1.02862;1.5;-2;360
9;2;-1.21464;0.5;2;360
9;2;-1.11299;1.5;-2;360
9;2;-1.14309;0.5;2;360
9;2;-1.10484;1.5;-2;360
9;2;-1.04780;1.5;-2;360
9;2;-1.15288;0.5;2;360
9;2;-1.18969;0.5;2;360
9;2;-1.17240;0.5;2;360
9;2;-1.07350;1.5;-2;360
9;2;-1.17483;0.5;2;360
9;3;-0.93504;2.5;7;399
9;3;-0.84124;2.5;5;399
9;3;-0.88344;2.5;5;399
9;3;-0.91941;2.5;5;399
9;3;-0.98166;2.5;5;399
9;3;-1.18371;0.5;-11;399
9;3;-0.79983;2.5;3;399
9;3;-0.81090;2.5;3;399
9;3;-0.85426;2.5;3;399
9;3;-0.88989;2.5;3;399
9;3;-0.96369;2.5;3;399
9;3;-0.97831;2.5;3;399
9;3;-1.28649;0.5;-9;399
9;3;-1.26350;0.5;-9;399
9;3;-1.22886;0.5;-9;399
9;3;-1.02117;1.5;9;399
9;3;-1.18585;0.5;-9;399
9;3;-1.16541;0.5;-9;399
9;3;-1.09610;1.5;9;399
9;3;-1.12622;0.5;-9;399
9;3;-1.14789;1.5;9;399
9;3;-1.09060;0.5;-9;399
9;3;-0.79033;2.5;1;399
9;3;-0.82106;2.5;1;399
9;3;-0.82989;2.5;1;399
9;3;-0.86207;2.5;1;399
9;3;-0.90532;2.5;1;399
9;3;-0.92680;2.5;1;399
9;3;-0.94425;2.5;1;399
9;3;-1.37257;0.5;-7;399
9;3;-0.98871;2.5;1;399
9;3;-1.35270;0.5;-7;399
9;3;-0.99872;2.5;1;399
9;3;-1.31522;0.5;-7;399
9;3;-1.30298;0.5;-7;399
9;3;-1.29498;0.5;-7;399
9;3;-1.27261;0.5;-7;399
9;3;-0.98095;1.5;7;399
9;3;-1.26895;0.5;-7;399
9;3;-0.98536;1.5;7;399
9;3;-1.24727;0.5;-7;399
9;3;-1.01277;1.5;7;399
9;3;-1.22773;0.5;-7;399
9;3;-1.22487;0.5;-7;399
9;3;-1.04675;1.5;7;399
9;3;-1.20026;0.5;-7;399
9;3;-1.19340;0.5;-7;399
9;3;-1.06063;1.5;7;399
9;3;-1.18584;0.5;-7;399
9;3;-1.18371;0.5;11;399
9;3;-1.16601;0.5;-7;399
9;3;-1.08755;1.5;7;399
9;3;-1.15951;0.5;-7;399
9;3;-1.09700;1.5;7;399
9;3;-1.14583;0.5;-7;399
9;3;-1.13848;0.5;-7;399
9;3;-1.12287;0.5;-7;399
9;3;-1.12903;1.5;7;399
9;3;-1.14718;1.5;7;399
9;3;-1.16523;1.5;7;399
9;3;-1.07267;0.5;-7;399
9;3;-1.06784;0.5;-7;399
9;3;-1.19158;1.5;7;399
9;3;-1.20636;1.5;7;399
9;3;-1.04010;0.5;-7;399
9;3;-1.00353;0.5;-7;399
9;3;-0.79033;2.5;-1;399
9;3;-0.82106;2.5;-1;399
9;3;-0.82989;2.5;-1;399
9;3;-0.86207;2.5;-1;399
9;3;-0.90532;2.5;-1;399
9;3;-0.92680;2.5;-1;399
9;3;-1.41816;0.5;-5;399
9;3;-0.94425;2.5;-1;399
9;3;-1.40136;0.5;-5;399
9;3;-1.37160;0.5;-5;399
9;3;-0.98871;2.5;-1;399
9;3;-1.35904;0.5;-5;399
9;3;-1.35694;0.5;-5;399
9;3;-1.35216;0.5;-5;399
9;3;-0.99872;2.5;-1;399
9;3;-1.34343;0.5;-5;399
9;3;-0.90953;1.5;5;399
9;3;-1.32209;0.5;-5;399
9;3;-1.31395;0.5;-5;399
9;3;-1.30902;0.5;-5;399
9;3;-1.30678;0.5;-5;399
9;3;-0.95122;1.5;5;399
9;3;-1.29521;0.5;-5;399
9;3;-0.96191;1.5;5;399
9;3;-1.28055;0.5;-5;399
9;3;-1.26951;0.5;-5;399
9;3;-1.26197;0.5;-5;399
9;3;-1.09060;0.5;9;399
9;3;-0.99550;1.5;5;399
9;3;-1.25320;0.5;-5;399
9;3;-0.99932;1.5;5;399
9;3;-1.14789;1.5;-9;399
9;3;-1.24458;0.5;-5;399
9;3;-1.24161;0.5;-5;399
9;3;-1.00998;1.5;5;399
9;3;-1.23346;0.5;-5;399
9;3;-1.23026;0.5;-5;399
9;3;-1.22558;0.5;-5;399
9;3;-1.12622;0.5;9;399
9;3;-1.02705;1.5;5;399
9;3;-1.21971;0.5;-5;399
9;3;-1.21148;0.5;-5;399
9;3;-1.04233;1.5;5;399
9;3;-1.20175;0.5;-5;399
9;3;-1.05010;1.5;5;399
9;3;-1.09610;1.5;-9;399
9;3;-1.05398;1.5;5;399
9;3;-1.19149;0.5;-5;399
9;3;-1.18677;0.5;-5;399
9;3;-1.16541;0.5;9;399
9;3;-1.18426;0.5;-5;399
9;3;-1.06953;1.5;5;399
9;3;-1.07472;1.5;5;399
9;3;-1.17459;0.5;-5;399
9;3;-1.18585;0.5;9;399
9;3;-1.08823;1.5;5;399
9;3;-1.16090;0.5;-5;399
9;3;-1.09174;1.5;5;399
9;3;-1.15441;0.5;-5;399
9;3;-1.10029;1.5;5;399
9;3;-1.13967;0.5;-5;399
9;3;-1.13523;0.5;-5;399
9;3;-1.13208;0.5;-5;399
9;3;-1.11879;1.5;5;399
9;3;-1.02117;1.5;-9;399
9;3;-1.22886;0.5;9;399
9;3;-1.11953;0.5;-5;399
9;3;-1.11671;0.5;-5;399
9;3;-1.14171;1.5;5;399
9;3;-1.10360;0.5;-5;399
9;3;-1.15259;1.5;5;399
9;3;-1.09174;0.5;-5;399
9;3;-1.08684;0.5;-5;399
9;3;-1.26350;0.5;9;399
9;3;-1.16784;1.5;5;399
9;3;-1.08034;0.5;-5;399
9;3;-1.17402;1.5;5;399
9;3;-1.07343;0.5;-5;399
9;3;-1.17984;1.5;5;399
9;3;-1.28649;0.5;9;399
9;3;-1.18660;1.5;5;399
9;3;-1.19039;1.5;5;399
9;3;-1.20104;1.5;5;399
9;3;-1.04475;0.5;-5;399
9;3;-1.03620;0.5;-5;399
9;3;-1.21968;1.5;5;399
9;3;-1.01978;0.5;-5;399
9;3;-1.23472;1.5;5;399
9;3;-1.24744;1.5;5;399
9;3;-0.98162;0.5;-5;399
9;3;-0.79983;2.5;-3;399
9;3;-0.81090;2.5;-3;399
9;3;-0.85426;2.5;-3;399
9;3;-0.88989;2.5;-3;399
9;3;-1.45641;0.5;-3;399
9;3;-1.42302;0.5;-3;399
9;3;-1.41832;0.5;-3;399
9;3;-1.41000;0.5;-3;399
9;3;-1.39632;0.5;-3;399
9;3;-1.38885;0.5;-3;399
9;3;-0.96369;2.5;-3;399
