N;lv;E_1;S;M;T
15;0;-3.0239439187177553;0.4999999999999999;-6.999999999999998;1443
15;0;-3.0411729466994757;0.49999999999999967;-4.9999999999999964;1443
15;0;-3.0067148907356156;0.4999999999999999;-4.999999999999998;1443
15;0;-3.103521390263566;0.5000000000000002;-3.0000000000000027;1443
15;0;-3.033891102660583;0.5;-2.999999999999999;1443
15;0;-3.0139967347746506;0.5000000000000004;-3.0000000000000036;1443
15;0;-3.1035213902634595;0.5;-1.0000000000000002;1443
15;0;-3.0553996762827964;0.5;-1.;1443
15;0;-3.023943918717464;0.4999999999999999;-0.9999999999999998;1443
15;0;-2.992488161152039;0.5;-1.;1443
15;0;-3.1035213902634595;0.5;1.;1443
15;0;-3.0553996762827964;0.5;1.;1443
15;0;-2.9443664471713973;1.5000000000000004;-3.000000000000001;1443
15;0;-3.023943918717464;0.5;1.0000000000000002;1443
15;0;-2.992488161152039;0.5;1.;1443
15;0;-3.103521390263566;0.5000000000000002;3.000000000000002;1443
15;0;-2.944366447171774;1.4999999999999998;-0.9999999999999998;1443
15;0;-3.03389110266059;0.5;3.000000000000001;1443
15;0;-3.0139967347746435;0.5;3.;1443
15;0;-2.9443664471717668;1.4999999999999993;0.9999999999999993;1443
15;0;-3.041172946699483;0.5000000000000004;5.000000000000005;1443
15;0;-3.0067148907356156;0.5;5.000000000000002;1443
15;0;-3.0239439187177553;0.5;7.;1443
15;0;-2.9443664471713973;1.5000000000000004;3.000000000000001;1443
15;1;-2.984593841030204;0.5000000000000002;-10.000000000000007;1520
15;1;-2.927763615180268;0.5000000000000002;-10.000000000000007;1520
15;1;-3.0131870585541094;0.49999999999999967;-7.999999999999995;1520
15;1;-2.9839465981235804;0.49999999999999967;-7.999999999999995;1520
15;1;-2.971070547971948;0.4999999999999999;-7.999999999999998;1520
15;1;-2.9455455920307116;0.49999999999999967;-7.9999999999999964;1520
15;1;-2.892633502700434;0.4999999999999999;-7.999999999999998;1520
15;1;-3.065958544056997;0.4999999999999999;-5.999999999999998;1520
15;1;-3.0513817813997477;0.5;-6.;1520
15;1;-3.0037784862219254;0.4999999999999998;-5.999999999999997;1520
15;1;-2.990254957332489;0.49999999999999944;-5.999999999999991;1520
15;1;-2.986528347513392;0.4999999999999998;-5.9999999999999964;1520
15;1;-2.975520196065453;0.5;-6.;1520
15;1;-2.9507550422019975;0.4999999999999999;-5.999999999999998;1520
15;1;-2.921528739367403;0.4999999999999999;-6.;1520
15;1;-2.914164127998731;0.5000000000000002;-6.000000000000005;1520
15;1;-2.8874100612613347;0.5;-6.;1520
15;1;-2.873266060151728;0.49999999999999967;-5.9999999999999964;1520
15;1;-3.1008542009905753;0.5000000000000002;-4.0000000000000036;1520
15;1;-3.0703911953754215;0.5;-4.;1520
15;1;-3.048412764665599;0.5;-4.;1520
15;1;-3.0331518152419292;0.5;-4.;1520
15;1;-3.0165116225984008;0.4999999999999999;-3.999999999999999;1520
15;1;-3.006463297443588;0.5;-4.000000000000001;1520
15;1;-3.003050731882709;0.5;-4.000000000000001;1520
15;1;-2.895123010114027;1.4999999999999998;-7.999999999999998;1520
15;1;-2.984118074831912;0.5;-4.000000000000002;1520
15;1;-2.9829210447802623;0.5;-4.000000000000001;1520
15;1;-2.9622069321905187;0.5;-3.9999999999999996;1520
15;1;-2.958083659735415;0.4999999999999999;-3.999999999999999;1520
15;1;-2.9507931919267563;0.5000000000000002;-4.0000000000000036;1520
